dbname,seqno,query,exec_time,perf_dev,dev_pcnt,perf_stts,rss,avgrss,vsz,memory
"SF-10",0,"q01",4.12,0.00,0.00%,0,2897184,883125,5233828,100
"SF-10",0,"q02",6.21,0.00,0.00%,0,665912,456113,3078912,100
"SF-10",0,"q03",3.73,0.00,0.00%,0,2266336,1808030,6092164,100
"SF-10",0,"q04",2.59,0.00,0.00%,0,1683936,1116680,4195920,100
"SF-10",0,"q05",7.43,0.00,0.00%,0,2433664,604770,5178660,100
"SF-10",0,"q06",2.52,0.00,0.00%,0,560632,418254,4530764,100
"SF-10",0,"q07",8.30,0.00,0.00%,0,2941460,1607756,5591032,100
"SF-10",0,"q08",7.78,0.00,0.00%,0,2373068,1290030,6428408,100
"SF-10",0,"q09",5.26,0.00,0.00%,0,2081896,581365,6273992,100
"SF-10",0,"q10",4.82,0.00,0.00%,0,2226392,1331390,5633236,100
"SF-10",0,"q11",4.25,0.00,0.00%,0,584412,466110,2993352,100
"SF-10",0,"q12",4.23,0.00,0.00%,0,509672,386686,4076772,100
"SF-10",0,"q13",2.98,0.00,0.00%,0,2114808,1916530,4327324,100
"SF-10",0,"q14",4.62,0.00,0.00%,0,1138220,597345,4457852,100
"SF-10",0,"q15",3.75,0.00,0.00%,0,1956604,841556,5140160,100
"SF-10",0,"q16",3.48,0.00,0.00%,0,736620,609721,2953064,100
"SF-10",0,"q17",3.16,0.00,0.00%,0,1134860,501044,4002256,100
"SF-10",0,"q18",3.38,0.00,0.00%,0,2212572,1572240,5607708,100
"SF-10",0,"q19",4.04,0.00,0.00%,0,1457024,1216010,4679356,100
"SF-10",0,"q20",5.34,0.00,0.00%,0,1829156,1293340,4473516,100
"SF-10",0,"q21",4.42,0.00,0.00%,0,4036656,2959260,5108112,100
"SF-10",0,"q22",4.42,0.00,0.00%,0,606704,430701,2978612,100
